,Tv shows,Actors,Rating
2004,Justice League Unlimited,"George Newbern, Kevin Conroy",8.659002131172555
1984,The Adventures of Sherlock Holmes,"Jeremy Brett, David Burke",8.658897367628569
2000,Curb Your Enthusiasm,"Larry David, Cheryl Hines",8.656154730797635
2019,Demon Slayer: Kimetsu No Yaiba,"Natsuki Hanae, Zach Aguilar",8.651546260683507
2001,Six Feet Under,"Peter Krause, Michael C. Hall",8.65110251930196
1997,South Park,"Trey Parker, Matt Stone",8.65023333410761
2005,The Thick of It,"Chris Addison, James Smith",8.648433688103465
2015,Aranyélet,"Szabolcs Thuróczy, Eszter Ónodi",8.645718980421153
1989,The Simpsons,"Dan Castellaneta, Nancy Cartwright",8.645711138001825
2016,The Crown,"Claire Foy, Olivia Colman",8.64200510274537
2004,House M.D.,"Hugh Laurie, Omar Epps",8.639287682779589
1986,The Return of Sherlock Holmes,"Jeremy Brett, Edward Hardwicke",8.63902485129622
2004,Battlestar Galactica,"Edward James Olmos, Mary McDonnell",8.631241358242876
2015,Better Call Saul,"Bob Odenkirk, Rhea Seehorn",8.6311784432686
1988,Mahabharat,"Harish Bhimani, Mukesh Khanna",8.631137561618662
2002,Top Gear,"Jeremy Clarkson, Richard Hammond",8.62621458672175
2019,Yakusoku no Neverland,"Sumire Morohoshi, Maaya Uchida",8.625455772023113
2018,The Haunting of Hill House,"Henry Thomas, Oliver Jackson-Cohen",8.625099390990185
1999,One Piece: Wan pîsu,"Mayumi Tanaka, Tony Beck",8.622469869245013
2016,This Is Us,"Milo Ventimiglia, Mandy Moore",8.621956796707586
2002,The Shield,"Michael Chiklis, Catherine Dent",8.618684995147323
2004,Deadwood,"Timothy Olyphant, Ian McShane",8.615050218143969
2010,Downton Abbey,"Hugh Bonneville, Phyllis Logan",8.609344980660008
2016,The Grand Tour,"Jeremy Clarkson, James May",8.608413849892536
1989,Lonesome Dove,"Robert Duvall, Tommy Lee Jones",8.605144877874077
2015,Critical Role,"Liam O'Brien, Matthew Mercer",8.602789830517153
1997,Kenpû Denki Berserk,"Nobutoshi Canna, Marc Diraison",8.601688046486728
1986,Blackadder II,"Rowan Atkinson, Tony Robinson",8.595030965985924
2009,Archer,"H. Jon Benjamin, Judy Greer",8.59193019114696
1994,The Memoirs of Sherlock Holmes,"Jeremy Brett, Rosalie Williams",8.590498440357935
1993,The X Files,"David Duchovny, Gillian Anderson",8.58980955338192
2011,Bron/Broen,"Sofia Helin, Rafael Pettersson",8.589722399038914
2009,Parks and Recreation,"Amy Poehler, Jim O'Heir",8.587318974582645
2003,Battlestar Galactica,"Edward James Olmos, Mary McDonnell",8.583494887019933
1987,Star Trek: The Next Generation,"Patrick Stewart, Brent Spiner",8.582367814784925
2010,Young Justice,"Jesse McCartney, Danica McKellar",8.581148191007378
2016,Atlanta,"Donald Glover, Brian Tyree Henry",8.580757431112232
2006,Friday Night Lights,"Kyle Chandler, Connie Britton",8.577936430159433
2014,BoJack Horseman,"Will Arnett, Amy Sedaris",8.57718885508744
2006,Dexter,"Michael C. Hall, Jennifer Carpenter",8.577155822696806
2006,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,"Johnny Yong Bosch, Yuri Lowenthal",8.577049177964371
2014,Gomorra: La serie,"Salvatore Esposito, Marco D'Amore",8.576365915344237
1999,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,"Mayo Suzukaze, Junko Iwao",8.575554998927666
